"name"	"sku"	"description"	"category1"	"category2"	"category3"	"image"	"weight"	"price"	"quantity"	"enabled"	"shipping_freight"	"fixed_shipping_rate_only"
"Блинница Ariete Baby 181"	"92"	"<p>Мощность 900 Вт. Индикатор температуры. Контейнер для теста. Готовым блинчикам можно придать форму Микки Мауса специальной формочкой.</p>"	"Бытовая техника для кухни"	""	""	"http://demo.mydataprovider.com/market/img/p/92-162.jpg"		"60.00"		"yes"	"0.00"	"no"
"Аппарат для пончиков Daewoo DI 8102"	"93"	"<p>Аппарат предназначен для приготовления пончиков традиционной (кольцеобразной) формы. Индикатор включения и готовности. Антипригарное покрытие. Регулировка температуры.</p>"	"Бытовая техника для кухни"	""	""	"http://demo.mydataprovider.com/market/img/p/93-164.jpg"		"35.00"		"yes"	"0.00"	"no"
"Автокресло Bebe Confort Opal"	"94"	"<p>Автокресло с поворотным сиденьем для более продолжительного использования. Переустановка положений происходит одним движением руки, вращением автокресла на своем основании. Сиденье подходит для двух групп: 0+ - спиной к дороге и 1 - лицом к дороге. Боковая защита Safe Side предохраняет голову малыша при боковых столкновениях. Внутренние 5-точечные ремни безопасности быстро и удобно регулируются по росту ребенка. Размеры: ширина регулируется от 40 до 50 см. Высота регулируется от 60 до 76 см. Варианты цвета: Total Black, Intense Red, Deep Blue, Brown Earth, Steel Gray, Marble Pink, Dark Olive.</p>"	"Детские товары"	""	""	"http://demo.mydataprovider.com/market/img/p/94-165.jpg"		"483.00"		"yes"	"0.00"	"no"
"Детские качели GRACO Sweetpeace"	"95"	"<p>Детские качели для детей с рождения. Качели копируют движение при укачивании ребёнка на руках (в трёх разных направлениях), три положения спинки, 6 скоростей, съёмное сидение, набор различных мелодий и возможность подключения МР3 плеера, две скорости вибрации, ремни безопасности, регулируемый капор.</p>"	"Детские товары"	""	""	"http://demo.mydataprovider.com/market/img/p/95-172.jpg"		"348.00"		"yes"	"0.00"	"no"
"Цифровой видеомонитор Philips AVENT SCD60000"	"96"	"<p>Автоматический выбор канала для конфиденциального соединения. Система инфракрасного ночного видения для круглосуточного наблюдения. Успокаивающие колыбельные и ночник. Высокое разрешение, цветной экран 61 мм. Беспроводной портативный родительский блок. Цифровое подтверждение сигнала и световая индикация уровня звука. Автоматическое включение экрана с регуляторами яркости и звука. Родительский блок на аккумуляторах. Диапазон действия: 150 м. Клипса для крепления к поясу.</p>"	"Детские товары"	""	""	"http://demo.mydataprovider.com/market/img/p/96-173.jpg"		"350.00"		"yes"	"0.00"	"no"
"Стульчик для кормления Peg-Perego Prima Pappa Best"	"97"	"<p>Стульчик раcсчитан на малыша до трех лет. Моющееся сидение изготовлено из кожа заменителя, корпус пластмассовый, регулируемая подножка, стопора на колесах, большая устойчивость. Пятиточечные ремни безопасности и анатомическая вставка для разделения ног удерживают ребенка в надежном и безопасном положении.</p>"	"Детские товары"	""	""	"http://demo.mydataprovider.com/market/img/p/97-174.jpg"		"306.00"		"yes"	"0.00"	"no"
"Гладильная доска Metalnova Domino Plus"	"98"	"<p>Компактная, устойчивая гладильная доска с регулировкой высоты гладильной платформы до восьми положений. Имеет твердую гладильную платформу из огнеупорного материала, на которую одевается влагоустойчивый и жаропрочный чехол. Ножки выполнены из хромированного металла. Рабочая поверхность: 114x36 см. Подставка для утюга. Вес:7 кг.</p>"	"Мебель и интерьер"	""	""	"http://demo.mydataprovider.com/market/img/p/98-179.jpg"		"134.00"		"yes"	"0.00"	"no"
"Лампы АРО Голден S"	"99"	"<p>Лампы АРО Голден S. Отличное решение для создания непринужденной и уютной обстановки в Вашем доме. Размеры: Большой лампы (L): Высота - 143 см; Диаметр - 29 см Средней лампы (M): Высота - 115 см; Диаметр - 29 см Маленькой лампы (S): Высота - 83 см; Диаметр - 26 см Страна-производитель: Индонезия</p>"	"Мебель и интерьер"	""	""	"http://demo.mydataprovider.com/market/img/p/99-180.jpg"		"151.00"		"yes"	"0.00"	"no"
"Детектор проводки Bosch PDO Multi"	"100"	"<p>Цифровой детектор для обнаружения и локализации проводки, металлов (включая цветные) и деревянных внутренних конструкций. Функция «Zoom». Дисплей с высоким разрешением. Однозначное запрещение/разрешение сверления с помощью светодиодного индикатора. Автоматическая калибровка.</p>"	"Строительные инструменты"	""	""	"http://demo.mydataprovider.com/market/img/p/100-181.jpg"		"123.00"		"yes"	"0.00"	"no"
"Оптический нивелир Bosch GOL 20 D Professional"	"101"	"<p>Оптический нивелир с точность нивелирования 3 мм на 30 м. Рабочий диапазон: до 60 м. Оптимально подходит для использования вне помещений благодаря прочному корпусу с защитой от пыли и брызг IP 54. Светосильный объектив для чёткого захвата цели. Пентапризма для удобства считывания показаний сферического уровня. Коллиматор для грубого выравнивания. Вертикальное изображение. Большая кнопка фокусировки для простого выравнивания.Бесконечный микрометренный привод (измерение в гонах) с проскальзывающей муфтой.</p>"	"Строительные инструменты"	""	""	"http://demo.mydataprovider.com/market/img/p/101-182.jpg"		"285.00"		"yes"	"0.00"	"no"
"Краскораспылитель Bosch PFS 105 E"	"102"	"<p>Системы тонкого распыления с электронной регулировкой расхода воздуха для обработки больших объектов. Потребляемая мощность 350 Вт. Система плавной регулировки расхода краски. Сопло для распыления краски с 3 положениями. Рукоятка с мягкой накладкой. Длина шланга: 3.4 м.</p>"	"Строительные инструменты"	""	""	"http://demo.mydataprovider.com/market/img/p/102-186.jpg"		"220.00"		"yes"	"0.00"	"no"
"Высечные ножницы Bosch GNA 16 (SDS) Professional"	"103"	"<p>Изящная, узкая конструкция для оптимального удобства в обращении. Используется для внутренних вырезов. Свободная работа по разметке и шаблону. Фиксируемая матрица для прямых прорезов, замена пуансона и матрицы без инструмента (система SDS). Легкосменные режущие инструменты.</p>"	"Строительные инструменты"	""	""	"http://demo.mydataprovider.com/market/img/p/103-187.jpg"		"290.00"		"yes"	"0.00"	"no"
"Перфоратор AEG PN 11 E"	"104"	"<p>Эффективен при работе массивной оснасткой. Бурение отверстий большого диаметра на большую глубину доступно только машинам этого класса. Высокая энергия удара позволяет без труда и быстро разрушать конструкции из бетона. Анти вибрационная система AVS. Прорезиненная накладка Softgrip на рукоятках. Сила удара 27.0 Дж. Комплектуется кейсом.</p>"	"Строительные инструменты"	""	""	"http://demo.mydataprovider.com/market/img/p/104-188.jpg"		"1135.00"		"yes"	"0.00"	"no"
"VoIP-телефон Linksys SPA962"	"105"	"<p>VoIP-телефон обладает широким набором функциональных возможностей, как телефонных, так и сетевых. Стильный дизайн и высокая функциональность аппарата делают его использование чрезвычайно эффективным в гибкой среде IP-телефонии, IP УАТС или крупных IP call-центрах. Комплектация аппарата включает в себя: поддержку 6 активных каналов, dual switched Ethernet ports, поддержку 802.3 c питанием от свитча (PoE -Power of the Ethernet, это означает, что телефон питается от сети Ethernet), цветной дисплей с высоким разрешением, динамик, и 2.5 мм разъем для гарнитуры. Каждый канал телефонного аппарата может быть настроен на работу либо с несколькими различными номерами, либо с одним, но многоканальным номером.</p>"	"Телефония"	""	""	"http://demo.mydataprovider.com/market/img/p/105-189.jpg"		"364.00"		"yes"	"0.00"	"no"
"Мобильный телефон Porsche Design P'9521"	"106"	"<p>Корпус изготовлен из алюминия. Верхнюю крышку можно поворачивать в разные стороны. Сеть: GSM / EDGE (850 / 900 / 1800 / 1900 МГц). Камера: 3.2 мегапикселя, автофокус, вспышка. Дисплей: AMOLED, 2.2 дюйма, 320 х 240 точек. USB 1.1. Bluetooth 1.2, A2DP, AVRCP. Считыватель отпечатков пальцев.</p>"	"Телефония"	""	""	"http://demo.mydataprovider.com/market/img/p/106-190.jpg"		"1965.00"		"yes"	"0.00"	"no"
"Автомобильная громкая связь Nokia CK-300"	"107"	"<p>Беспроводной автомобильный комплект для совершения вызовов и прослушивания музыки. Встроенная функция DSP. Индикатор питания на внешнем устройстве ввода. Активация голосовых команд (требует поддержки телефоном). Переадресация вызова с телефона на автомобильный комплект. Повтор последнего набранного номера. Отключение микрофона. Воспроизведение МР3-файлов из памяти мобильного устройства или совместимого музыкального плеера. Подключение к автомагнитоле для лучшего качества звука (требуется магнитола с разъемом AUX и адаптер кабеля).</p>"	"Телефония"	""	""	"http://demo.mydataprovider.com/market/img/p/107-196.jpg"		"214.00"		"yes"	"0.00"	"no"
"Радиостанция JJ-Connect HE-400"	"108"	"<p>Радиостанция обеспечивает надежную связь на расстоянии до 12 км. Работает на частотах 433.075 - 434.775. Яркий и информативный дисплей с подсветкой, отображает всю необходимую информацию, предусмотрен также тональный вызов, индикатор заряда батарей и регулировка громкости. В качестве дополнительной полезной функции имеется встроенный электронный компас, что пригодится в походе, в лесу, на охоте или рыбалке. Цвет - черно-серебристый.</p>"	"Телефония"	""	""	"http://demo.mydataprovider.com/market/img/p/108-198.jpg"		"119.00"		"yes"	"0.00"	"no"
"Bluetooth stereo гарнитура беспроводная Jabra BT650 Halo"	"109"	"<p>Основные параметры Тип крепления наушников: оголовье Вес (гр): 80 Способ питания: собственный аккумулятор Дальность действия (макс.): 10 м Время работы в режиме ожидания до (ч): 8 Время работы в режиме разговора до (м): 480 Способ зарядки аккумулятора: от внешнего USB-порта, Сетевое зарядное устройство 220В Время зарядки: 120 мин Передача данных: Bluetooth Версия Bluetooth протокола: 2.0 Поддерживаемые профили Bluetooth: A2DP, AVRCP, EDR, Handsfree, Headset Поддержка Bluetooth стерео: ДаФункциональность Функция Multipoint: Да Функции гарнитуры: автоматическая подстройка громкости, ответ/окончание разговора, повтор последнего номера, шумоподавление, эхоподавление Индикатор разряда аккумулятора: Да Световой индикатор вызова: ДаКомплектация - Гарнитура Bluetooth стерео Jabra BT650 Halo - Чехол - Кабель USB - 3.5 мм кабель - Краткое руководство пользователя - Зарядное устройство</p>"	"Телефония"	""	""	"http://demo.mydataprovider.com/market/img/p/109-201.jpg"		"118.00"		"yes"	"0.00"	"no"
"Микросотовый телефон DECT Panasonic KX-TCA275"	"110"	"<p>Микросотовый телефон DECT позволяет сотрудникам перемещаться по всей территории офиса, не прекращая разговора, и обеспечивают при этом полную функциональность стационарного системного телефона. Каждый микросотовый телефон DECT может быть зарегистрирован на нескольких АТС, что позволяет использовать один и тот же номер в разных офисах. Когда Вы находитесь в другом офисе, трубка автоматически регистрируется в местной DECT сети, и Вы можете принимать звонки на свой обычный внутренний номер. Цветной графический ЖК-дисплей с подсветкой и с поддержкой кириллицы. Работа с АТС Panasonic серий KX-TDA/TDE/NCP. Поддержка CTI приложений (доступность данной функции зависит от версии KX-TDA0141/0158). Поддержка функций АТС. Разъём для подключения гарнитуры. Полифонический звонок (10 мелодий). Клавиатура с подсветкой и символами кириллицы. Спикерфон. Программируемые кнопоки. Виброзвонок. Режим на совещание. Записная книжка на 200 записей. Размер: 123х45х23 мм. Вес: 115 г.</p>"	"Телефония"	""	""	"http://demo.mydataprovider.com/market/img/p/110-202.jpg"		"200.00"		"yes"	"0.00"	"no"
"Радиотелефон DECT Siemens Gigaset SL785"	"111"	"<p>Стильный и удобный телефон в металлическом корпусе. Встроенный автоответчик с записью на 45 минут. Гарнитура с Bluetooh® и дуплексный режим hands-free. Большой цветной TFT-дисплей с инновационным интерфейсом. Технология ECO Mode Plus с режимом нулевой передачи. Адресная книга на 500 записей. Возможность обмена данными из адресной книги через Bluetooth® с мобильными телефонами. Индикация номера. Синхронизация с компьютером через Bluethooth®/USB. Возможна регистрация до 6 трубок.</p>"	"Телефония"	""	""	"http://demo.mydataprovider.com/market/img/p/111-204.jpg"		"304.00"		"yes"	"0.00"	"no"
"Миксер Vitesse VS-240"	"14"	"<p>Основное</p><p>Тип: Ручной</p><p>Мощность (Вт): 300</p><p>Число скоростей: 3</p><p>Возможности использования</p><p>Турборежим: Нет</p><p>Импульсный режим: Да</p><p>Вращение чаши: Нет</p><p>Насадки</p><p>Количество насадок: 2</p><p>Универсальный измельчитель: Нет</p><p>Венчик для взбивания: Да</p><p>Насадка для приготовления пюре: Нет</p><p>Крюки для замешивания теста: Да</p><p>Насадка-блендер: Нет</p><p>Конструкция</p><p>Материал корпуса: Пластик</p><p>Приспособление для хранения насадок: Нет</p><p>Кнопка отсоединения насадок: Да</p><p>Прорезиненная ручка: Нет</p><p>Защитная крышка на чашу: Нет</p><p>Приспособление для намотки шнура: Да</p>"	"Маленькая"	""	""	"http://demo.mydataprovider.com/market/img/p/14-27.jpg"		"50.00"		"yes"	"0.00"	"no"
"Духовой шкаф Gorenje BO87KR"	"15"	"<p>Независимый встраиваемый духовой шкаф шириной 60 см и объемом 64 литра. Электронный сенсорный программный модуль с температурным зондом. Светодиодная подсветка MoodLite с выбором 7 цветов. Часы. Будильник. 8 программ, установленные производителем по типу продукта. Возможность создания 3 собственных программ. Звуковой сигнал. Сплошное застекление дверцы духовки. Откидные верхние нагреватели. Блокировка от детей. Температурный сенсор. Защитное отключение.</p>"	"Средняя"	""	""	"http://demo.mydataprovider.com/market/img/p/15-28.jpg"		"1300.00"		"yes"	"0.00"	"no"
"Универсальная коляска LONEX Classic Retro"	"24"	"<p>Универсальная коляска с люлькой из натуральной лозы для детей до 6 месяцев. Коляска состоит из съемной люльки и прогулочного блока. Ресорная амортизация на 4-х колесах. Колеса на выбор: диаметр 40 см - резиновые повышенной износостойкости не надувные, диаметр 36 см - надувные. Диски хромированные. Прогулочный блок устанавливается на шасси в двух направлениях - лицом к себе или от себя. Спинка регулируется в 4-х положениях до горизонтального. Имеются пятиточечные ремни безопасности с мягкими накладками и ограничительный бампер. Регулируемая подножка. В комплект входит утепленный чехол на ножки, корзина для покупок, сумка для мамы, дождевик. Большой выбор цветов.</p>"	"Средняя"	""	""	"http://demo.mydataprovider.com/market/img/p/24-50.jpg"		"432.00"		"yes"	"0.00"	"no"
"Видеоняня Motorola MBP 35"	"36"	"<p>Цифровая видео-радионяня с большим 3.5 дюймовым LCD дисплеем. Режим ночного видения. Режим сна для сохранения заряда. Большая зона приема с предупреждением о выходе из зоны приема. Позволяет присматривать за ребенком на расстоянии до 150 метров. Чистый звук с индикатором громкости. Цифровой термометр. Высокочувствительный микрофон. Связь в обе стороны. Пять колыбельных. Заряжаемый аккумулятор./p></p>"	"Большая"	""	""	"http://demo.mydataprovider.com/market/img/p/36-81.jpg"		"198.00"		"yes"	"0.00"	"no"
"Электрокамин Dimplex Mozart"	"43"	"<p>Электрический очаг с порталами в сборе эффектом пламени Optiflame. Регулируемая мощность обогрева 1-2 кВт. Возможность работы без обогрева. Цвет портала - белый.</p>"	"Большая"	""	""	"http://demo.mydataprovider.com/market/img/p/43-94.jpg"		"700.00"		"yes"	"0.00"	"no"
"Гладильная доска Gimi Temper Drop"	"41"	"<p>Гладильная доска имеет специальное место для утюга. Ножки из крашеной стальной трубки (диаметром 22 и 32 мм) овальной в сечении, что даёт дополнительную устойчивость. Держатель для электрического кабеля от утюга. Чехол гладильной доски из 100 % хлопка с подкладкой из мягкого нетканого материала. Поверхность гладильной доски выполнена в виде сетки, что позволяет свободно пропускать пар от утюга. Форма стола скошенная для удобного разглаживания белья в труднодоступных местах. Гладильная доска легко складывается, занимает мало места в сложенном состоянии. Большая рабочая поверхность гладильной доски позволяет гладить не только рубашки, мужские брюки, но и постельное бельё. Высота гладильной доски может свободно регулироваться. Устойчива и прочна.</p>"	"Большая"	""	""	"http://demo.mydataprovider.com/market/img/p/41-92.jpg"		"65.00"		"yes"	"0.00"	"no"
"Бензопила цепная Stihl MS 660"	"61"	"<p>Очень мощная пила, расчитана на экстремальные нагрузки, крайне прочна. Превосходно подходит для эффективной рубки толстомерного леса. Боковое устройство натяжения цепи, компенсатор, замок для бака, не требующий инструмента, декомпрессионный клапан.</p>"	"Очень большая"	""	""	"http://demo.mydataprovider.com/market/img/p/61-112.jpg"		"1100.00"		"yes"	"0.00"	"no"
"Электрорубанок Metabo Ho Е 0983"	"71"	"<p>Упор направляющей для наклонного строгания под углом до 45 градусов, поворотный патрубок для выталкивания стружки. Пониженное число оборотов для уменьшение шума на холостом ходу, полноволновая электроника для равномерного строгания, надежный прочный рубанок с длинной подошвой для широкого спектра применения. Твердосплавные ножи, легкая замена ножа благодаря кассетной системе, бесступенчатая регулировка глубины строгания и глубины фальца, плоско-фрезерованная подошва рубанка из алюминиевого литья под давлением.</p>"	"Очень большая"	""	""	"http://demo.mydataprovider.com/market/img/p/71-125.jpg"		"539.00"		"yes"	"0.00"	"no"
"Радиотелефон Dect Panasonic KX-TG8286"	"80"	"<p>Комплектация база, две трубки. Радиус действия в помещении / на открытой местности 50 / 300 м. Цифровой автоответчик, на 40 минут. Память последних 10 набранных номеров. Полифонические мелодии 20. Автодозвон, будильник, блокировка клавиатуры от случайного нажатия, разъем для гарнитуры. Ночной режим, избирательный звонок, тип дополнительных трубок KX-TGA828. Дисплей на базовом блоке, на трубке (цветной). Подсветка кнопок на трубке. Возможность настенного крепления. Наборное поле на базе. АОН/Caller ID, журнал на 50 номеров. Громкая связь (спикерфон). Внутренняя связь (интерком) между несколькими трубками. Конференц-связь (между базой, трубкой/трубками и внешним абонентом).</p>"	"Очень большая"	""	""	"http://demo.mydataprovider.com/market/img/p/80-142.jpg"		"272.00"		"yes"	"0.00"	"no"
"Мобильный телефон HTC Sensation XE"	"72"	"<p>Смартфон, выполненный в форм-факторе моноблок оснащен двухядерным процессором 1.5 ГГц и ОС Android 2.3. 4.3 дюймовый SLCD дисплей с разрешением 540 х 960 пикселей способный отображать до 16 млн. цветов. Встроенная память телефона 4 Гб. Слот для карт памяти формата microSD, microSDНС. Интерфейсы: Вluetooth, USB, Wi-Fi. Встроенный приемник GPS. Встроена 8-ми мегапиксельная камера с автофокусом, светодиодной вспышкой и функцией записи видео. Аудио разъем 3.5 мм. Аккумулятор емкостью 1730 мАч обеспечивает работу до 9 часов в режиме разговора, до 540 часов в режиме ожидания.</p>"	"Очень большая"	""	""	"http://demo.mydataprovider.com/market/img/p/72-126.jpg"		"800.00"		"yes"	"0.00"	"no"
"Кофеварка эспрессо KENWOOD ES 471"	"3"	"<p>Кофеварка эспрессо</p><p>Цвет Красный</p><p>Регулировка Кол-ва чашек, Крепости кофе</p><p>Индикатор уровня воды</p><p>Резервуар для воды Съёмный</p><p>Давление (бар) 15</p><p>Объём резервуара д/воды 1.5 л</p><p>Потребляемая мощность 1050 Вт</p><p>Дополнительные параметры:</p><p>Используемый кофемолотый / чалды</p><p>Нагреватель TermoGen.</p><p>Система подогрева чашек.</p><p>Подходит для использования фильтров ESE.</p><p>Профессиональный наконечник для вспенивания молока.</p><p>Возможность приготовления капуччино ручное приготовление</p><p>Индикатор контроля температуры.</p><p>Регулятор пара с покрытием SureGrip.</p><p>Съёмный лоток для капель.</p><p>Отсек для хранения шнура.</p>"	"Очень большая"	""	""	"http://demo.mydataprovider.com/market/img/p/3-5.jpg"		"400.00"		"yes"	"0.00"	"no"
"Тостер KRUPS FEM2 ToastExpert"	"8"	"<p>Технические характеристикиМощность 1100 ВтКоличество отделений 2Количество тостов 2Тип управления механическоеРегулировка степени поджаривания есть, 8Кнопка отмены естьОсобенностиПоддон для крошек есть</p>"	"Очень большая"	""	""	"http://demo.mydataprovider.com/market/img/p/8-18.jpg"		"80.00"		"yes"	"0.00"	"no"
"Сушилка для овощей и фруктов Energy EN-660"	"16"	"<p>Прибор для бережной сушки овощей, фруктов, грибов мощностью 450 Вт. Позволяет сохранять вкусовые качества продуктов, витамины и активные вещества. 4 съемных поддона, принудительная вентиляция, регулируемый термостат (60°- 75° С). Корпус изготовлен из пластика ABS, что позволяет защитить продукты от разрушительного воздействия солнечного света.</p>"	"Очень большая"	""	""	"http://demo.mydataprovider.com/market/img/p/16-30.jpg"		"70.00"		"yes"	"0.00"	"no"
"Электрический чайник Stadler Form SFK.808"	"17"	"<p>Электрочайник емкостью 1.8 литра в стеклянном корпусе с закрытым нагревательным элементом. Стеклянная колба Duran Schott и голубая подсветка превратят процесс закипания воды в волшебное зрелище. Мощность 2200 Вт обеспечит быстрое закипание, а центральный контакт - поворот на 360 градусов и удобную эксплуатацию. Чайник оснащен съемным фильтром-сеткой, для безопасного использования предусмотрена блокировка крышки. Основание, ручка и крышка чайника изготовлены из прочного пластика. Электрический шнур убирается в специальный отсек.</p>"	"Очень большая"	""	""	"http://demo.mydataprovider.com/market/img/p/17-31.jpg"		"160.00"		"yes"	"0.00"	"no"
"Сэндвичница Eta 3151"	"10"	"<p>Сэндвичница мощностью 650 Вт со сменными панелями три в одной - сэндвичница, контактный гриль и вафельница. Панели с качественным противопригарным покрытием просто и быстро заменяются, температура автоматически регулируется термостатом. Световая сигнализация для удобства приготовления (красный световой индикатор загорается при подключении к сети, зеленый - при достижении необходимой температуры). Для безопасного использования корпус в теплоизоляционной обшивке, ручки прибора с фиксатором также изолированы и устойчивы к нагреву. Цвет корпуса - черный со вставками из нержавеющей стали.</p>"	"Очень большая"	""	""	"http://demo.mydataprovider.com/market/img/p/10-21.jpg"		"70.00"		"yes"	"0.00"	"no"
"Пароварка BORK FS ECP 98100 BK"	"6"	"<p>Общие характеристики:</p><p>Количество ярусов 3</p><p>Тип управления электронное</p><p>Максимальная потребляемая мощность 1000 Вт</p><p>Индикация включения есть</p><p>Функции:</p><p>Автоприготовление есть, рецептов - 6</p><p>Термостат есть</p><p>Отсрочка старта есть</p><p>Конструкция</p><p>Материал корпуса пластик</p><p>Материал паровых корзин прозрачный пластик</p><p>Объем резервуара для воды 1.5 л</p><p>Чаша для риса есть, на 1.9 л</p><p>Индикатор уровня воды есть</p><p>Съемные решетки есть</p><p>Дисплей есть</p><p>Долив воды во время приготовления есть</p><p>Особенности:</p><p>Габариты (ШхВхГ) 35x41x25 см</p><p>Вес 2.68 кг</p><p>Длина сетевого шнура 1 м</p>"	"Очень большая"	""	""	"http://demo.mydataprovider.com/market/img/p/6-13.jpg"		"175.00"		"yes"	"0.00"	"no"
"Детская кроватка-трансформер Гандылян Тереза"	"27"	"<p>Кроватка-трансформер совмещает себе функции кроватки для новорожденных и кровати для дошкольников. Боковое ограждение опускается или снимается. Комод может использоваться в качестве пеленального столика. Он оснащен тремя объемными выдвижными ящиками с открытыми полочками для мелочей. Ложе может устанавливать на одном из двух уровнях. Два выдвижных ящика для белья. Цвет: натуральный, вишня, орех, махагон, белый, слоновая кость. Размеры кроватки: 67 x 129 х 101 см. Размеры комода: 49.5 x 70 x 70.5 см.</p>"	"Очень большая"	""	""	"http://demo.mydataprovider.com/market/img/p/27-59.jpg"		"370.00"		"yes"	"0.00"	"no"
